grid_id,date,delta_t
"7713,2843",2022-04-17,12.924812330526612
"7718,2843",2022-04-17,13.281877853881285
"7723,2843",2022-04-17,12.28847152847153
"7708,2848",2022-04-17,10.389442009932802
"7713,2848",2022-04-17,11.31586508979413
"7718,2848",2022-04-17,12.622178102189775
"7723,2848",2022-04-17,12.556837494524745
"7728,2848",2022-04-17,12.469735650649916
"7733,2848",2022-04-17,11.317823546596554
"7688,2853",2022-04-17,18.720548571428566
"7693,2853",2022-04-17,17.447396086273386
"7698,2853",2022-04-17,15.734140837023274
"7703,2853",2022-04-17,13.55832047986289
"7708,2853",2022-04-17,13.493486710488702
"7713,2853",2022-04-17,11.757050585881682
"7718,2853",2022-04-17,11.170178596942415
"7723,2853",2022-04-17,10.491514285714283
"7728,2853",2022-04-17,9.940517216745246
"7733,2853",2022-04-17,12.038539791398767
"7683,2858",2022-04-17,17.839462145571474
"7688,2858",2022-04-17,19.469409356725137
"7693,2858",2022-04-17,18.453692824784447
"7698,2858",2022-04-17,16.273042969891844
"7703,2858",2022-04-17,13.606925888028064
"7708,2858",2022-04-17,11.539362852550054
"7713,2858",2022-04-17,11.513103448275857
"7718,2858",2022-04-17,10.671161771152997
"7723,2858",2022-04-17,9.9294227677919
"7728,2858",2022-04-17,9.569188952213938
"7733,2858",2022-04-17,10.613635433416166
"7688,2863",2022-04-17,17.350935087217614
"7693,2863",2022-04-17,16.390244460328816
"7698,2863",2022-04-17,13.834348634348643
"7703,2863",2022-04-17,11.10720800571837
"7708,2863",2022-04-17,9.428793251358305
"7713,2863",2022-04-17,10.642646259476468
"7718,2863",2022-04-17,11.618915903890159
"7723,2863",2022-04-17,10.23182780320366
"7728,2863",2022-04-17,11.253472540045772
"7733,2863",2022-04-17,10.081126680011446
"7693,2868",2022-04-17,13.80322118197776
"7698,2868",2022-04-17,14.376810534016094
"7703,2868",2022-04-17,13.21329823021793
"7708,2868",2022-04-17,10.247282036278532
"7713,2868",2022-04-17,9.589302121433793
"7718,2868",2022-04-17,9.277404155692127
"7723,2868",2022-04-17,10.547370885149963
"7728,2868",2022-04-17,10.767422469280284
"7733,2868",2022-04-17,10.136371616678852
"7693,2873",2022-04-17,16.13003005581795
"7698,2873",2022-04-17,16.32009162491052
"7703,2873",2022-04-17,13.844685845140978
"7708,2873",2022-04-17,11.258474527761878
"7713,2873",2022-04-17,10.598491700057245
"7718,2873",2022-04-17,10.161144819690904
"7723,2873",2022-04-17,12.125770717045949
"7728,2873",2022-04-17,12.009911276473948
"7733,2873",2022-04-17,12.91519175729822
"7693,2878",2022-04-17,17.984061493411414
"7698,2878",2022-04-17,18.106003807292424
"7703,2878",2022-04-17,16.531048316251837
"7708,2878",2022-04-17,14.312454598711186
"7713,2878",2022-04-17,14.973606677405177
"7718,2878",2022-04-17,13.840556368960462
"7723,2878",2022-04-17,15.995121522693994
"7728,2878",2022-04-17,15.198564943622786
"7693,2883",2022-04-17,17.20462124542125
"7698,2883",2022-04-17,17.500014649868152
"7703,2883",2022-04-17,17.3674190238898
"7708,2883",2022-04-17,15.235529515160405
"7713,2883",2022-04-17,15.086101992966006
"7718,2883",2022-04-17,15.901957509157505
"7723,2883",2022-04-17,17.50648102007915
"7703,2888",2022-04-17,17.222699914015486
"7708,2888",2022-04-17,17.16292431192661
"7713,2888",2022-04-17,15.218316604531113
"7718,2888",2022-04-17,17.417816618911168
"7723,2888",2022-04-17,18.215575297320523
"7713,2843",2022-04-18,23.71171970886256
"7718,2843",2022-04-18,24.590993150684923
"7723,2843",2022-04-18,22.419003853289574
"7708,2848",2022-04-18,21.237896581945662
"7713,2848",2022-04-18,21.72892101036649
"7718,2848",2022-04-18,22.961103649635042
"7723,2848",2022-04-18,23.032080595707395
"7728,2848",2022-04-18,22.88127355046006
"7733,2848",2022-04-18,22.55067776803973
"7688,2853",2022-04-18,29.77817670823818
"7693,2853",2022-04-18,28.037308955863452
"7698,2853",2022-04-18,27.313895908543927
"7703,2853",2022-04-18,24.090671925211794
"7708,2853",2022-04-18,24.190097170620167
"7713,2853",2022-04-18,22.196813375250066
"7718,2853",2022-04-18,19.82152878982713
"7723,2853",2022-04-18,20.558957142857142
"7728,2853",2022-04-18,21.989858551221594
